Hugo_Symbol	mutated_samples	total_muts
NF2	4	5
ARSB	3	3
CXorf67	3	3
FAM3D	3	3
RPL22	3	3
CLSTN3	2	4
SLC35A1	2	3
AC004160.1	2	2
AHDC1	2	2
ANXA13	2	2
AP000311.1	2	2
APC	2	2
ARHGAP18	2	2
ARHGEF28	2	2
ATG5	2	2
AXDND1	2	2
AXL	2	2
BIVM-ERCC5	2	2
BRD1	2	2
BTAF1	2	2
C2CD4C	2	2
CDKN2C	2	2
CEP135	2	2
CR2	2	2
CXCL13	2	2
DYDC2	2	2
FAT1	2	2
FUT6	2	2
HR	2	2
IFFO2	2	2
KRT79	2	2
MCIDAS	2	2
MCM3	2	2
MKL1	2	2
MTMR9	2	2
MYO1H	2	2
MYOCD	2	2
NME3	2	2
PABPC1	2	2
PNLIPRP1	2	2
PPP6R1	2	2
PRDM14	2	2
PRDM5	2	2
QKI	2	2
RORA	2	2
RSPO4	2	2
SCN7A	2	2
SCN9A	2	2
SEC61A1	2	2
SH3PXD2A	2	2
SPTAN1	2	2
SSPO	2	2
TCHH	2	2
THSD7A	2	2
TTC37	2	2
ZNF469	2	2
GRM1	1	2
SHROOM2	1	2
TTC6	1	2
AASDH	1	1
AATK	1	1
ABAT	1	1
ABCA2	1	1
ABCA6	1	1
ABHD14A-ACY1	1	1
AC023055.1	1	1
AC084879.1	1	1
ACIN1	1	1
ACVR1	1	1
ADAMTS8	1	1
ADAMTSL4	1	1
ADCY1	1	1
ADIPOR1	1	1
AFTPH	1	1
AGAP2	1	1
AIM2	1	1
AL031777.3	1	1
ALYREF	1	1
ANK1	1	1
ANK2	1	1
AP002748.4	1	1
APH1A	1	1
ARL10	1	1
ASAH1	1	1
ASTN2	1	1
ATG4D	1	1
ATP13A2	1	1
ATP2A1	1	1
BCOR	1	1
BCORL1	1	1
BEST3	1	1
BMPER	1	1
BRD4	1	1
BRINP2	1	1
BTBD9	1	1
C11orf87	1	1
C11orf95	1	1
C15orf62	1	1
C2orf16	1	1
C2orf71	1	1
C5orf66-AS1	1	1
CACNA1B	1	1
CACNA1C	1	1
CACNA1F	1	1
CACNB4	1	1
CARD16	1	1
CASP8AP2	1	1
CASR	1	1
CATIP	1	1
CCDC102A	1	1
CCDC112	1	1
CCDC129	1	1
CCDC50	1	1
CCER1	1	1
CCNB1	1	1
CCT3	1	1
CD163	1	1
CD93	1	1
CDC42EP1	1	1
CDHR3	1	1
CDKL5	1	1
CDKN1A	1	1
CEMIP2	1	1
CFAP43	1	1
CFAP74	1	1
CHRNA1	1	1
CHRNA4	1	1
CHSY3	1	1
CIC	1	1
CLCN5	1	1
CLDN9	1	1
CLIC2	1	1
CLK3	1	1
CLUAP1	1	1
CMYA5	1	1
CNTNAP1	1	1
COL22A1	1	1
COL6A1	1	1
COX20	1	1
CRB2	1	1
CSF3R	1	1
CSGALNACT2	1	1
CSMD1	1	1
CSMD3	1	1
CTDNEP1	1	1
CTNNBL1	1	1
CTSZ	1	1
CYBA	1	1
CYBC1	1	1
CYP2A13	1	1
D2HGDH	1	1
DCC	1	1
DENND2C	1	1
DEPDC5	1	1
DGKK	1	1
DIS3L2	1	1
DMRT3	1	1
DMXL2	1	1
DPH1	1	1
DPP7	1	1
DRAIC	1	1
DRD2	1	1
E2F1	1	1
EEPD1	1	1
EFS	1	1
EIF3A	1	1
ELF3	1	1
EML6	1	1
ENAH	1	1
EPHA8	1	1
EPHB2	1	1
EPHB6	1	1
EPHX4	1	1
EPS15L1	1	1
ERFE	1	1
ERN1	1	1
ERP27	1	1
EVPL	1	1
FAAH2	1	1
FAM69B	1	1
FBN3	1	1
FBXO39	1	1
FHIT	1	1
FIZ1	1	1
FNBP1	1	1
FNDC1	1	1
FNDC9	1	1
FRMD8	1	1
FRRS1	1	1
FXR1	1	1
GABRA6	1	1
GFRA4	1	1
GJD3	1	1
GLRA1	1	1
GLUD2	1	1
GNAT3	1	1
GPR149	1	1
GRIK1	1	1
GTF3C1	1	1
HACE1	1	1
HADHB	1	1
HDAC7	1	1
HECTD1	1	1
HENMT1	1	1
HERPUD2	1	1
HEXIM2	1	1
HFE	1	1
HHAT	1	1
HIST1H3B	1	1
HMCN2	1	1
HNRNPA2B1	1	1
HNRNPC	1	1
HS6ST3	1	1
HSD17B12	1	1
HSP90AA1	1	1
ICE2	1	1
IFNAR1	1	1
IGFBP4	1	1
IGFBP7	1	1
IGLV1-51	1	1
IGSF21	1	1
IL1RAPL1	1	1
ILDR2	1	1
INO80B	1	1
IQCF3	1	1
ITGB4	1	1
ITIH5	1	1
ITK	1	1
JMJD1C	1	1
JPH1	1	1
KBTBD4	1	1
KCNK10	1	1
KCNK3	1	1
KIAA1549	1	1
KIAA1755	1	1
KIF13A	1	1
KIF16B	1	1
KLHL2	1	1
KLK15	1	1
KRT222	1	1
KXD1	1	1
L3MBTL3	1	1
LATS1	1	1
LCT	1	1
LHX3	1	1
LINC01450	1	1
LLGL2	1	1
LNP1	1	1
LRP10	1	1
LRP5	1	1
LRRC1	1	1
LRRFIP2	1	1
LRRK1	1	1
LRRK2	1	1
LRWD1	1	1
LTBP3	1	1
LTK	1	1
LUZP2	1	1
MAGEB3	1	1
MAML1	1	1
MAN2C1	1	1
MAPK3	1	1
MAPK9	1	1
MASP1	1	1
