Hugo_Symbol	mutated_samples	total_muts
BRAF	14	14
GPR158	3	3
IDH1	3	3
KRAS	3	3
ATRX	2	2
EHMT1	2	2
FREM3	2	2
INTS10	2	2
KIAA0753	2	2
LRP1B	2	2
MEGF8	2	2
NLGN3	2	2
OR6S1	2	2
PRPSAP1	2	2
RAB5IF	2	2
SLITRK6	2	2
UBXN2A	2	2
UTP14A	2	2
VILL	2	2
TINAGL1	1	2
AC243725.1	1	1
ADAMTS12	1	1
ADAMTS16	1	1
ADAMTSL3	1	1
ADCK5	1	1
ADH1A	1	1
AHCYL2	1	1
ANKLE2	1	1
ATIC	1	1
ATRN	1	1
B3GALT5	1	1
BCOR	1	1
BUB1B	1	1
C12orf45	1	1
C1QL3	1	1
CABLES1	1	1
CAPN8	1	1
CCDC136	1	1
CCDC57	1	1
CCNQ	1	1
CDKN2A	1	1
CENPJ	1	1
CES3	1	1
CFAP47	1	1
CFTR	1	1
CHUK	1	1
CNTN1	1	1
COL7A1	1	1
CRLF1	1	1
CRY1	1	1
CSGALNACT1	1	1
CTNNA2	1	1
CUX2	1	1
DAAM2	1	1
DBF4	1	1
DCAF12	1	1
DCST2	1	1
DGKB	1	1
DKK2	1	1
DOPEY1	1	1
DSPP	1	1
EBLN2	1	1
ERBB4	1	1
ESR1	1	1
EYA1	1	1
FAM120C	1	1
FAM178B	1	1
FAM3D	1	1
FMO3	1	1
FOCAD	1	1
GLYATL1	1	1
GOLGB1	1	1
GPR107	1	1
GPR31	1	1
GRB14	1	1
GSDMA	1	1
GTPBP4	1	1
H1FX	1	1
HIST1H3B	1	1
HNF1A	1	1
HRK	1	1
IGDCC3	1	1
IRX1	1	1
ITGAX	1	1
ITPRIPL1	1	1
JPH3	1	1
KCNB2	1	1
KCNC3	1	1
KIF3B	1	1
KIR3DL3	1	1
KLF5	1	1
KRT83	1	1
LLPH	1	1
MAP2K1	1	1
MDN1	1	1
MID2	1	1
MRAS	1	1
MYCN	1	1
MYH2	1	1
MYO7B	1	1
NF1	1	1
NLRP1	1	1
NOTCH3	1	1
NOX1	1	1
NPHS2	1	1
NPNT	1	1
NRBP2	1	1
NRG2	1	1
NUDT17	1	1
PACS1	1	1
PCDHA4	1	1
PIH1D1	1	1
PIWIL3	1	1
PLEKHA8	1	1
PNPLA1	1	1
PRDM9	1	1
PTEN	1	1
PXDN	1	1
RAB31	1	1
RASA1	1	1
RBM5	1	1
RCAN2	1	1
RFC1	1	1
RNASEH2A	1	1
RPGR	1	1
RPS16	1	1
RYR3	1	1
SAP30	1	1
SCG2	1	1
SF3A1	1	1
SLC13A5	1	1
SLC44A5	1	1
SLC5A12	1	1
STAMBPL1	1	1
STRIP2	1	1
SYNJ1	1	1
TEAD2	1	1
TENM1	1	1
TMEM102	1	1
TRPC7	1	1
UNC5D	1	1
UPF2	1	1
VWC2	1	1
ZNF10	1	1
ZNF337	1	1
ZNF536	1	1
ZNF853	1	1
ZSCAN26	1	1
