Hugo_Symbol	mutated_samples	total_muts
BRAF	32	32
FGFR1	8	12
PIK3CA	6	6
NF1	5	5
BCOR	4	4
MT-ND5	4	4
MUC16	4	4
PDGFRA	3	6
HERC1	3	3
IDH1	3	3
MAPK1	3	3
MDFIC	3	3
SLC44A1	3	3
COL3A1	2	3
ANKRD31	2	2
ANKRD55	2	2
ANLN	2	2
ATM	2	2
COL4A5	2	2
EPHA3	2	2
FCRL2	2	2
FRY	2	2
GFAP	2	2
GIGYF2	2	2
GUCY1A1	2	2
HCN1	2	2
HEPHL1	2	2
IDH3G	2	2
INSRR	2	2
IRS4	2	2
KEAP1	2	2
KIAA1324	2	2
KLHL13	2	2
KMT2B	2	2
KRAS	2	2
LAMA2	2	2
LIX1	2	2
LRRIQ3	2	2
MAGEB6	2	2
OBSL1	2	2
PAX4	2	2
PCM1	2	2
PIK3R1	2	2
PJA1	2	2
PPEF2	2	2
PTPN11	2	2
RYR1	2	2
SLC23A2	2	2
SPTB	2	2
SSPO	2	2
ST6GALNAC5	2	2
STAG2	2	2
TEX11	2	2
TP53	2	2
TSGA10IP	2	2
UST	2	2
WNK2	2	2
ZFHX4	2	2
COP1	1	2
FBXO10	1	2
OR51G1	1	2
PTCH1	1	2
SIAH3	1	2
STK17A	1	2
A2ML1	1	1
ABCA2	1	1
ABCA6	1	1
ABCG4	1	1
ABCG8	1	1
ABHD10	1	1
AC008991.1	1	1
AC010616.1	1	1
AC058822.1	1	1
AC119396.1	1	1
ACTR10	1	1
ACTRT1	1	1
ACY3	1	1
ADAM20	1	1
ADAMTS12	1	1
ADAMTS20	1	1
ADAMTS8	1	1
ADGRB1	1	1
ADGRG2	1	1
ADGRV1	1	1
ADPRHL1	1	1
AK7	1	1
AKAP4	1	1
AL031777.3	1	1
AL132671.2	1	1
AL606490.2	1	1
ALAS2	1	1
ALDH16A1	1	1
ALPK2	1	1
ALS2CR12	1	1
ALX3	1	1
AMPD3	1	1
ANGPT1	1	1
ANKH	1	1
ANKRD34C	1	1
ANKRD40	1	1
ANKRD6	1	1
ANO3	1	1
AP3M1	1	1
AP4E1	1	1
AP5M1	1	1
APOA5	1	1
APOB	1	1
ARAP1	1	1
ARHGEF1	1	1
ARHGEF28	1	1
ARID1A	1	1
ARID3C	1	1
ARRB1	1	1
ARRDC5	1	1
ASB11	1	1
ASH1L	1	1
ASPA	1	1
ATAD2	1	1
ATAD3C	1	1
ATP10A	1	1
ATP12A	1	1
ATP1A2	1	1
ATP2B3	1	1
ATP6V0A4	1	1
ATP7A	1	1
ATRX	1	1
ATXN1	1	1
BARHL2	1	1
BCKDHB	1	1
BGN	1	1
BPIFB1	1	1
BTN3A1	1	1
C11orf68	1	1
C15orf41	1	1
C4orf54	1	1
CABP1	1	1
