Hugo_Symbol	mutated_samples	total_muts
CTNNB1	12	12
TP53	11	12
DDX3X	10	11
KMT2D	9	10
PTCH1	8	9
TTN	6	8
KDM6A	6	6
KMT2C	6	6
SMARCA4	5	6
RYR1	4	6
CHD8	4	4
DNAH3	4	4
IFI16	4	4
ITGA1	4	4
PLAT	4	4
KCNG3	3	5
AGRN	3	3
ATP6V1C2	3	3
BAP1	3	3
BPGM	3	3
CSMD1	3	3
EBF1	3	3
HS3ST4	3	3
LAMA5	3	3
LHX2	3	3
MAP3K6	3	3
NWD2	3	3
OVGP1	3	3
PLCD1	3	3
PRPS2	3	3
PRTG	3	3
RIPK4	3	3
RLN1	3	3
RNFT2	3	3
SEMA5B	3	3
SETD2	3	3
SLC4A1	3	3
STAG2	3	3
TM4SF18	3	3
ZIC1	3	3
CMTR1	2	4
ANKRD11	2	3
NIN	2	3
ABCA4	2	2
ABCC12	2	2
AC118549.1	2	2
AKAP17A	2	2
AMER2	2	2
ARHGAP21	2	2
ATR	2	2
BAZ2B	2	2
BMPR1A	2	2
BRD7	2	2
BRDT	2	2
C19orf24	2	2
C1QL2	2	2
CACNA1B	2	2
CAMSAP3	2	2
CAPRIN1	2	2
CASZ1	2	2
CCDC141	2	2
CCDC187	2	2
CD6	2	2
CDH2	2	2
CEACAM20	2	2
CLDN19	2	2
CNGA2	2	2
COL4A5	2	2
CPED1	2	2
CSTF2T	2	2
CTAGE1	2	2
CTCF	2	2
CTDNEP1	2	2
CUX1	2	2
CYP2W1	2	2
DDX23	2	2
DGCR8	2	2
DNAH14	2	2
DOCK10	2	2
DYNC1H1	2	2
EFCAB6	2	2
EIF3A	2	2
EOMES	2	2
FBN2	2	2
FBN3	2	2
FGFR2	2	2
GIT1	2	2
GPR18	2	2
GPR55	2	2
IGSF10	2	2
IL1RL1	2	2
IWS1	2	2
KBTBD4	2	2
KCP	2	2
KIAA1109	2	2
MAX	2	2
MECOM	2	2
METTL15	2	2
MT-CYB	2	2
MT-ND5	2	2
MTOR	2	2
MUC16	2	2
MUC3A	2	2
MYH3	2	2
MYH4	2	2
NCOR2	2	2
NKX2-6	2	2
NRF1	2	2
POLR2B	2	2
PPP1R3F	2	2
PRKDC	2	2
PTGS2	2	2
RAPGEF3	2	2
RASGRP4	2	2
RIF1	2	2
RYR2	2	2
SIM1	2	2
SOX7	2	2
SPEN	2	2
SRC	2	2
SRCAP	2	2
SYNE1	2	2
TARBP1	2	2
TBC1D2B	2	2
TENM2	2	2
TRAF5	2	2
TRBV10-3	2	2
TRIM33	2	2
TRPV1	2	2
UGT1A1	2	2
UNC13C	2	2
VAV2	2	2
VCAN	2	2
WDR97	2	2
XDH	2	2
ZNF154	2	2
ZNF462	2	2
ZNF534	2	2
ZNF91	2	2
ZNFX1	2	2
ZSWIM8	2	2
IQUB	1	3
BRWD3	1	2
CADPS	1	2
DPH7	1	2
FAM53C	1	2
GPR26	1	2
IQGAP3	1	2
PCNT	1	2
PTEN	1	2
RBP3	1	2
SYT8	1	2
TMEM177	1	2
ZBED8	1	2
ZC3H11A	1	2
AASS	1	1
ABAT	1	1
ABCA13	1	1
ABCD1	1	1
ABCG2	1	1
ABHD12	1	1
ABL2	1	1
ABLIM2	1	1
ABT1	1	1
AC004997.1	1	1
AC084116.1	1	1
AC100848.1	1	1
ACHE	1	1
ACIN1	1	1
ACO1	1	1
ACSF2	1	1
ACSS1	1	1
ACVRL1	1	1
ADAD1	1	1
ADAM15	1	1
ADAM17	1	1
ADAMTS15	1	1
ADAMTS6	1	1
ADAMTS9	1	1
ADCY1	1	1
ADCYAP1R1	1	1
ADGRB2	1	1
ADGRF2	1	1
ADGRF4	1	1
ADGRF5	1	1
ADGRG4	1	1
ADGRG7	1	1
ADGRV1	1	1
ADH1A	1	1
AFF4	1	1
AKAP12	1	1
AKAP8L	1	1
AKR7A2	1	1
AL032819.3	1	1
AL136295.1	1	1
AL592490.1	1	1
ALDH1L1	1	1
ALOX15B	1	1
ALPG	1	1
ALPK1	1	1
AMPD2	1	1
